,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
71,6.1,2.8,4.0,1.3,versicolor,6.2173643,0.6983057
72,6.3,2.5,4.9,1.5,versicolor,10.6287155,-0.90450513
73,6.1,2.8,4.7,1.2,versicolor,8.519021,0.50158757
74,6.4,2.9,4.3,1.3,versicolor,9.16608,1.3933696
75,6.6,3.0,4.4,1.4,versicolor,10.070634,1.3668385
76,6.8,2.8,4.8,1.4,versicolor,11.209039,0.81526023
77,6.7,3.0,5.0,1.7,versicolor,12.107757,-0.044804502
78,6.0,2.9,4.5,1.5,versicolor,8.140619,0.66030335
79,5.7,2.6,3.5,1.0,versicolor,3.9577928,1.431562
80,5.5,2.4,3.8,1.1,versicolor,4.2829986,1.7773643
81,5.5,2.4,3.7,1.0,versicolor,4.027735,1.7564381
82,5.8,2.7,3.9,1.2,versicolor,5.1960435,1.3084182
83,6.0,2.7,5.1,1.6,versicolor,10.508151,-2.0284648
84,5.4,3.0,4.5,1.5,versicolor,6.897309,2.4098184
85,6.0,3.4,4.5,1.6,versicolor,8.901192,-0.16553523
86,6.7,3.1,4.7,1.5,versicolor,10.963923,0.9706317
87,6.3,2.3,4.4,1.3,versicolor,7.2635803,-0.7495846
88,5.6,3.0,4.1,1.3,versicolor,6.10926,1.8777
89,5.5,2.5,4.0,1.3,versicolor,5.0027614,2.054994
90,5.5,2.6,4.4,1.2,versicolor,5.918297,2.3772635
91,6.1,3.0,4.6,1.4,versicolor,8.729385,0.5320343
92,5.8,2.6,4.0,1.2,versicolor,5.234223,1.2719928
93,5.0,2.3,3.3,1.0,versicolor,3.2022953,2.290334
94,5.6,2.7,4.2,1.3,versicolor,5.7671804,1.9696501
95,5.7,3.0,4.2,1.2,versicolor,6.3386035,1.5478945
96,5.7,2.9,4.2,1.3,versicolor,6.297281,1.593971
97,6.2,2.9,4.3,1.3,versicolor,8.256844,1.181329
98,5.1,2.5,3.0,1.1,versicolor,3.0117393,2.2493057
99,5.7,2.8,4.1,1.3,versicolor,5.8311133,1.5794057
100,6.3,3.3,6.0,2.5,virginica,15.3343315,-3.8372805
101,5.8,2.7,5.1,1.9,virginica,10.1088915,-2.702857
102,7.1,3.0,5.9,2.1,virginica,16.487415,-2.405808
103,6.3,2.9,5.6,1.8,virginica,13.169899,-2.7407877
104,6.5,3.0,5.8,2.2,virginica,14.782585,-3.0214727
105,7.6,3.0,6.6,2.1,virginica,17.936115,-2.6811714
106,4.9,2.5,4.5,1.7,virginica,5.987698,3.4345977
107,7.3,2.9,6.3,1.8,virginica,17.447243,-2.2100441
108,6.7,2.5,5.8,1.8,virginica,13.51217,-3.5249016
109,7.2,3.6,6.1,2.5,virginica,16.84793,-3.3825736
110,6.5,3.2,5.1,2.0,virginica,13.601107,-1.4381465
111,6.4,2.7,5.3,1.9,virginica,12.611851,-2.1818078
112,6.8,3.0,5.5,2.1,virginica,14.974026,-2.1584299
113,5.7,2.5,5.0,2.0,virginica,9.815259,-3.011654
114,5.8,2.8,5.1,2.4,virginica,10.322918,-3.4554043
115,6.4,3.2,5.3,2.3,virginica,14.367793,-2.3955386
116,6.5,3.0,5.5,1.8,virginica,13.515503,-2.3889906
117,7.7,3.8,6.7,2.2,virginica,17.87685,-3.4366467
118,7.7,2.6,6.9,2.3,virginica,18.311817,-2.5238445
119,6.0,2.2,5.0,1.5,virginica,8.711772,-2.181856
120,6.9,3.2,5.7,2.3,virginica,15.766561,-2.5640717
121,5.6,2.8,4.9,2.0,virginica,9.660465,-2.8920846
122,7.7,2.8,6.7,2.0,virginica,18.109135,-2.5337222
123,6.3,2.7,4.9,1.8,virginica,10.8565445,-1.3824503
124,6.7,3.3,5.7,2.1,virginica,15.396667,-2.6834335
125,7.2,3.2,6.0,1.8,virginica,16.901535,-2.2161834
126,6.2,2.8,4.8,1.8,virginica,10.319613,-1.2407625
127,6.1,3.0,4.9,1.8,virginica,10.005347,-1.4201198
128,6.4,2.8,5.6,2.1,virginica,13.859672,-2.8838577
129,7.2,3.0,5.8,1.6,virginica,16.807774,-1.8158416
130,7.4,2.8,6.1,1.9,virginica,17.351133,-2.1805227
131,7.9,3.8,6.4,2.0,virginica,17.862356,-3.4260426
132,6.4,2.8,5.6,2.2,virginica,14.0665245,-2.9244244
133,6.3,2.8,5.1,1.5,virginica,11.151204,-1.1900381
134,6.1,2.6,5.6,1.4,virginica,11.863581,-2.8889303
135,7.7,3.0,6.1,2.3,virginica,17.562305,-2.735597
136,6.3,3.4,5.6,2.4,virginica,14.876334,-3.634185
137,6.4,3.1,5.5,1.8,virginica,13.464366,-2.4043946
138,6.0,3.0,4.8,1.8,virginica,9.672105,-1.333844
139,6.9,3.1,5.4,2.1,virginica,15.14412,-1.8900794
140,6.7,3.1,5.6,2.4,virginica,15.189941,-2.6984074
141,6.9,3.1,5.1,2.3,virginica,14.761653,-1.4131255
142,5.8,2.7,5.1,1.9,virginica,10.1088915,-2.702857
143,6.8,3.2,5.9,2.3,virginica,15.904785,-2.9522002
144,6.7,3.3,5.7,2.5,virginica,15.535788,-3.2019877
145,6.7,3.0,5.2,2.3,virginica,14.517712,-1.7244874
146,6.3,2.5,5.0,1.9,virginica,11.170159,-1.8370637
147,6.5,3.0,5.2,2.0,virginica,13.5247345,-1.7364165
148,6.2,3.4,5.4,2.3,virginica,14.493966,-3.6696384
149,5.9,3.0,5.1,1.8,virginica,10.058948,-2.1393104
